DRUG_ID,DRUG_NAME,DRUG_SYNONYMS,DrugBank_ID,PubChem_ID,MESH_ID,KEGG_ID,TTD_ID
BADD_D00001,"1,2-hexanediol","1,2-hexanediol",DB14108,94335,C119102,Not Available,Not Available
BADD_D00002,2-hydroxy-3-phenylpropanoic acid,"3-phenyllactic acid | 3-phenyllactic acid, monosodium salt | beta-phenyllactic acid | 3-phenyllactic acid, (L)-isomer | phenyllactic acid | 3-phenyllactate | 3-phenyllactic acid, (D)-isomer | 3-phenyllactic acid, calcium salt | 3-phenyllactic acid, (DL)-isomer",Not Available,3848,C017648,Not Available,Not Available
BADD_D00003,2-phenylbutyric acid,2-phenylbutyric acid | 2-phenylbutanoic acid,DB06819,7012,C039714,Not Available,Not Available
BADD_D00004,2-[1-methyl-5-(4-methylbenzoyl)pyrrol-2-yl]acetate,"Tolmetin | Tolectin | Tolmetin Sodium, Anhydrous | Anhydrous Tolmetin Sodium | Tolmetin Sodium Anhydrous | Anhydrous, Tolmetin Sodium | Sodium Anhydrous, Tolmetin | McN-2559 | McN 2559 | McN2559 | Tolmetin Sodium | Sodium, Tolmetin | Tolmetin Sodium, Dihydrate | Dihydrate Tolmetin Sodium",DB00500,5508,D014046,D00158,D09BHB
BADD_D00005,4-oxo-3-(3-oxo-1-phenylbutyl)chromen-2-olate,"Warfarin | 4-Hydroxy-3-(3-oxo-1-phenylbutyl)-2H-1-benzopyran-2-one | Apo-Warfarin | Aldocumar | Gen-Warfarin | Warfant | Coumadin | Marevan | Warfarin Potassium | Potassium, Warfarin | Warfarin Sodium | Sodium, Warfarin | Coumadine | Tedicumar",DB00682,23690541,D014859,D00564,D0E3OF
BADD_D00006,"4r,6r-dorzolamide","dorzolamide | 4-ethylamino-5,6-dihydro-6-methyl-7,7-dioxide-4H-thieno(2,3-b)thiopyran-2-sulfonamide | 5,6-dihydro-4-ethylamino-6-methyl-4H-thieno(2,3-b)thiopyran-2-sulfonamide-7,7-dioxide | dorzolamide, (trans)-isomer | Dorzolamide Chibret | MK 507 | MK-507 | Trusopt | dorzolamide hydrochloride | L 671152 | L-671,152",DB00869,92087,C062765,D07871,D05UYW
BADD_D00007,"5-tert-butyl-2-methyl-1,3-benzodioxole",Not Available,Not Available,135113,Not Available,Not Available,Not Available
BADD_D00008,Abacavir,"abacavir | 1592U89 | abacavir sulfate | Ziagen | (1S,4R)-4-(2-amino-6-(cyclopropylamino)-9H-purin-9-yl)-2-cyclopentene-1-methanol | abacavir succinate",DB01048,441300,C106538,D07057,D0A4IJ
BADD_D00009,Abacavir succinate,"abacavir | 1592U89 | abacavir sulfate | Ziagen | (1S,4R)-4-(2-amino-6-(cyclopropylamino)-9H-purin-9-yl)-2-cyclopentene-1-methanol | abacavir succinate",DB01048,9822500,C106538,D02734,D0A4IJ
BADD_D00010,Abacavir sulfate,"abacavir | 1592U89 | abacavir sulfate | Ziagen | (1S,4R)-4-(2-amino-6-(cyclopropylamino)-9H-purin-9-yl)-2-cyclopentene-1-methanol | abacavir succinate",DB01048,9843042,C106538,D00891,D0A4IJ
BADD_D00011,Abarelix,abarelix | Plenaxis | PPI-149,DB00106,16131215,C423508,D02738,D01AHO
BADD_D00012,Abatacept,"Abatacept | CTLA-4-Ig | Cytotoxic T Lymphocyte-Associated Antigen 4-Immunoglobulin | Cytotoxic T Lymphocyte Associated Antigen 4 Immunoglobulin | CTLA4-Ig | CTLA4-Ig Immunoconjugate | CTLA4 Ig Immunoconjugate | Immunoconjugate, CTLA4-Ig | CTLA4-Fc | BMS224818 | BMS-224818 | BMS 224818 | Belatacept | Orencia | BMS 188667 | BMS-188667 | BMS188667 | LEA29Y | Nulojix",DB01281,Not Available,D000069594,D03203,D0EW4L
BADD_D00013,Abciximab,"Abciximab | c7E3 Fab | Chimeric 7E3 Fab | Fab, Chimeric 7E3 | ReoPro | Clotinab | CentoRx",DB00054,Not Available,D000077284,D02778,D0P3TX
BADD_D00014,Abiraterone,"abiraterone | 17-(3-pyridyl)androsta-5,16-dien-3beta-ol | CB-7598 | CB 7598 | CB7598",DB05812,132971,C089740,Not Available,D02STN
BADD_D00015,Abiraterone acetate,"Abiraterone Acetate | 17-(3-pyridyl)-5,16-androstadien-3beta-acetate | Zytiga | CB 7630 | CB-7630 | CB7630",DB05812,9821849,D000069501,D09701,D06CNP
BADD_D00016,Acamprosate,"Acamprosate | Acamprostate | N-Acetylhomotaurine | N Acetylhomotaurine | Campral EC | N-Acetylhomotaurine, Magnesium (2:1) Salt | N-Acetylhomotaurine, Monolithium Salt | N Acetylhomotaurine, Monolithium Salt | N-Acetylhomotaurine, Zinc (2:1) Salt | Campral | N-Acetylhomotaurine, Monosodium Salt | N Acetylhomotaurine, Monosodium Salt | Sodium Acetylhomotaurine | Acetylhomotaurine, Sodium | Zulex | Acamprosate Calcium | Calcium Acetylhomotaurine | Acetylhomotaurine, Calcium | Calcium Acetylhomotaurinate | Acetylhomotaurinate, Calcium | N-Acetylhomotaurine, Calcium (2:1) Salt | Calcium Acetyl Homotaurinate | Acetyl Homotaurinate, Calcium | N-Acetylhomotaurine, Monopotassium Salt | N Acetylhomotaurine, Monopotassium Salt | Aotal | Regtect",DB00659,71158,D000077443,D07058,D0GC2M
BADD_D00017,Acamprosate calcium,"Acamprosate | Acamprostate | N-Acetylhomotaurine | N Acetylhomotaurine | Campral EC | N-Acetylhomotaurine, Magnesium (2:1) Salt | N-Acetylhomotaurine, Monolithium Salt | N Acetylhomotaurine, Monolithium Salt | N-Acetylhomotaurine, Zinc (2:1) Salt | Campral | N-Acetylhomotaurine, Monosodium Salt | N Acetylhomotaurine, Monosodium Salt | Sodium Acetylhomotaurine | Acetylhomotaurine, Sodium | Zulex | Acamprosate Calcium | Calcium Acetylhomotaurine | Acetylhomotaurine, Calcium | Calcium Acetylhomotaurinate | Acetylhomotaurinate, Calcium | N-Acetylhomotaurine, Calcium (2:1) Salt | Calcium Acetyl Homotaurinate | Acetyl Homotaurinate, Calcium | N-Acetylhomotaurine, Monopotassium Salt | N Acetylhomotaurine, Monopotassium Salt | Aotal | Regtect",DB00659,155434,D000077443,D02780,D0GC2M
BADD_D00018,Acarbose,Acarbose | Glumida | Glucobay | Glucor | Bay g 5421 | Prandase | Precose,DB00284,444254,D020909,D00216,D0AD5C
BADD_D00019,Acebutolol,Acebutolol | Acetobutolol | Acebutolol Hydrochloride | M&B-17803 A | M&B 17803 A | M&B17803 A | M & B 17803A | Neptal | Prent | Rhotral | Sectral | Monitan | Apo-Acebutolol | Apo Acebutolol | ApoAcebutolol | Novo-Acebutolol | Novo Acebutolol | NovoAcebutolol,DB01193,1978,D000070,D02338,D0HD9K
BADD_D00020,Acebutolol hydrochloride,Acebutolol | Acetobutolol | Acebutolol Hydrochloride | M&B-17803 A | M&B 17803 A | M&B17803 A | M & B 17803A | Neptal | Prent | Rhotral | Sectral | Monitan | Apo-Acebutolol | Apo Acebutolol | ApoAcebutolol | Novo-Acebutolol | Novo Acebutolol | NovoAcebutolol,DB01193,441307,D000070,D00597,D0HD9K
BADD_D00021,Aceclofenac,"aceclofenac | 2-((2,6-dichlorophenyl)amino)phenylacetoxyacetic acid | Falcol | Falcol Difucrem | Clanza CR | Preservex | Biofenac | Sanein | Beofenac | Aital | Airtal Difucrem | Airtal | Bristaflam | Gerbin | Gerbin Difucrem",DB06736,71771,C056498,D01545,D0T8VY
BADD_D00022,Acenocoumarol,Acenocoumarol | Nicoumalone | Acenocoumarin | Sinthrome | Synthrom | Syncoumar | Syncumar | Sinkumar | Sintrom | Mini-Sintrom | Mini Sintrom | MiniSintrom,DB01418,54676537,D000074,D07064,D05HFY
BADD_D00023,Acetaminophen,Acetaminophen | Acetominophen | Hydroxyacetanilide | APAP | p-Acetamidophenol | p-Hydroxyacetanilide | Paracetamol | N-(4-Hydroxyphenyl)acetanilide | Acetamidophenol | N-Acetyl-p-aminophenol | Acephen | Acetaco | Tylenol | Anacin-3 | Anacin 3 | Anacin3 | Datril | Panadol | Acamol | Algotropyl,DB00316,1983,D000082,D00217,D0U5QK
BADD_D00024,Acetate,"Acetates | Acetate | Acetic Acid Esters | Esters, Acetic Acid | Acetic Acids | Acids, Acetic",DB14511,175,D000085,Not Available,D0F2ME
BADD_D00025,Acetazolamide,"Acetazolamide | Acetazolam | Acetazolamide Sodium, (Sterile) | Acetazolamide, Monosodium Salt | Ak-Zol | Ak Zol | AkZol | Apo-Acetazolamide | Apo Acetazolamide | ApoAcetazolamide | Diacarb | Diamox | Diuramide | Défiltran | Edemox | Glauconox | Glaupax | Huma-Zolamide | Huma Zolamide | HumaZolamide | Acetadiazol",DB00819,1986,D000086,D00218,D0E1SW
BADD_D00026,Acetazolamide sodium,"Acetazolamide | Acetazolam | Acetazolamide Sodium, (Sterile) | Acetazolamide, Monosodium Salt | Ak-Zol | Ak Zol | AkZol | Apo-Acetazolamide | Apo Acetazolamide | ApoAcetazolamide | Diacarb | Diamox | Diuramide | Défiltran | Edemox | Glauconox | Glaupax | Huma-Zolamide | Huma Zolamide | HumaZolamide | Acetadiazol",DB00819,13290219,D000086,D01196,D0E1SW
BADD_D00027,Acetic acid,"Acetic Acid | Glacial Acetic Acid | Acetic Acid, Glacial | Acetic Acid Glacial | Glacial, Acetic Acid | Vinegar",DB03166,176,D019342,D00010,D0F1LZ
BADD_D00028,Acetohydroxamic acid,acetohydroxamic acid | N-hydroxyacetamide | N-hydroxyacetamidine | Lithostat | Uronefrex,DB00551,1990,C006358,D00220,D0R9BG
BADD_D00029,Acetyl sulfisoxazole,acetyl sulfisoxazole,DB14033,6662,C005387,Not Available,Not Available
BADD_D00030,Acetylcholine,"Acetylcholine | 2-(Acetyloxy)-N,N,N-trimethylethanaminium | Acetylcholine L-Tartrate | Acetylcholine L Tartrate | L-Tartrate, Acetylcholine | Acetylcholine Perchlorate | Perchlorate, Acetylcholine | Acetylcholine Picrate (1:1) | Acetylcholine Picrate | Acetylcholine Hydroxide | Hydroxide, Acetylcholine | Miochol | Acetilcolina Cusi | Cusi, Acetilcolina | Acetylcholine Bromide | Bromide, Acetylcholine | Bromoacetylcholine | Acetylcholine Chloride | Chloroacetylcholine | Acetylcholine Fluoride | Fluoride, Acetylcholine | Acetylcholine Iodide | Iodide, Acetylcholine | Acetylcholine Sulfate (1:1)",DB03128,187,D000109,C01996,D0Q9HF
BADD_D00031,Acetylcholine chloride,"Acetylcholine | 2-(Acetyloxy)-N,N,N-trimethylethanaminium | Acetylcholine L-Tartrate | Acetylcholine L Tartrate | L-Tartrate, Acetylcholine | Acetylcholine Perchlorate | Perchlorate, Acetylcholine | Acetylcholine Picrate (1:1) | Acetylcholine Picrate | Acetylcholine Hydroxide | Hydroxide, Acetylcholine | Miochol | Acetilcolina Cusi | Cusi, Acetilcolina | Acetylcholine Bromide | Bromide, Acetylcholine | Bromoacetylcholine | Acetylcholine Chloride | Chloroacetylcholine | Acetylcholine Fluoride | Fluoride, Acetylcholine | Acetylcholine Iodide | Iodide, Acetylcholine | Acetylcholine Sulfate (1:1)",DB03128,6060,D000109,D00999,D0Q9HF
BADD_D00032,Acetylcysteine,"Acetylcysteine | N-Acetyl-L-cysteine | N Acetyl L cysteine | N-Acetylcysteine | N Acetylcysteine | Mercapturic Acid | Acid, Mercapturic | Solmucol | Genac | Acemuc | Acetabs | Acetylcystein AL | NAC AL | Acetylcystein Atid | Acetylcystein Heumann | Acetylcystein Trom | Acetylcysteine Hydrochloride | Hydrochloride, Acetylcysteine | Acetylcysteine Sodium | Sodium, Acetylcysteine | Acetylcysteine, Monosodium Salt | Monosodium Salt Acetylcysteine | Acetylcysteine Zinc | Zinc, Acetylcysteine | Acetylcysteine, (D)-Isomer | Acetylcysteine, (DL)-Isomer | Acetylcysteine, Monoammonium Salt | Monoammonium Salt Acetylcysteine | Acetyst | Acétylcystéine GNR | Airbron | Alveolex | Bromuc | Azubronchin | Bisolvon NAC | NAC, Bisolvon | Broncho-Fips | Broncho Fips | BronchoFips | Broncholysin | Broncoclar | Codotussyl | Cystamucil | Dampo Mucopect | Mucopect, Dampo | durabronchal | Larylin NAC | Eurespiran | Exomuc | Fluimucil | NAC Zambon | Zambon, NAC | Fabrol | Fluprowit | Optipect Hustengetränk | Hustengetränk, Optipect | Muco Sanigen | Sanigen, Muco | Frekatuss | Jenacystein | Jenapharm | Lantamed | Lindocetyl | M-Pectil | M Pectil | MPectil | mentopin Acetylcystein | Acetylcystein, mentopin | Muciteran | Mucomyst | Acetylin | Mucosil | Mucosol | Mucosolvin | Siccoral | Siran | Ilube | Hoestil | acebraus",DB06151,12035,D000111,D00221,D06XGW
BADD_D00033,Acetylsalicylic acid,"Aspirin | Acetylsalicylic Acid | Acid, Acetylsalicylic | 2-(Acetyloxy)benzoic Acid | Acylpyrin | Aloxiprimum | Colfarit | Dispril | Easprin | Ecotrin | Endosprin | Magnecyl | Micristin | Polopirin | Polopiryna | Solprin | Solupsan | Zorprin | Acetysal",DB00945,2244,D001241,D00109,D0GY5Z
BADD_D00034,Acid citrate dextrose,acid citrate dextrose | ACD solution | ACD-A solution,Not Available,64730,C002113,Not Available,Not Available
BADD_D00035,Acipimox,acipimox | 5-methylpyrazine-2-carboxylic acid 4-oxide | 5-methylpyrazinecarboxylic acid 4-oxide | Nedios | Olbetam | Olbemox,DB09055,5310993,C027696,D07190,D0S1NZ
BADD_D00036,Acitretin,"Acitretin | Etretin | Isoacitretin | Isoetretin | Ro 10-1670 | Ro 101670 | Ro-10-1670 | Ro101670 | 13-cis-Acitretin | Neotigason | Soriatane | Acitretin, (Z,E,E,E)-Isomer | Ro-13-7652 | Ro137652 | Ro 13-7652 | Ro 137652",DB00459,5284513,D017255,D02754,D05QDC
BADD_D00037,Aclidinium bromide,aclidinium bromide | (3R)-3-((hydroxy(di-2-thienyl)acetyl)oxy)-1-(3-phenoxypropyl)-1-azoniabicyclo(2.2.2)octane bromide,DB08897,11519741,C542859,D08837,D07KHH
BADD_D00038,Activated charcoal,"Charcoal | Liqui-Char | Actidose | Actidose-Aqua | Activated Charcoal | Charcoal, Activated | Adsorba | Carbomix | Charbon | CharcoAid | CharcoCaps | Charcodote | Formocarbine | Insta-Char | Kohle-Compretten | Kohle-Hevert | Kohle-Pulvis | Kohle-Tabletten Boxo-Pharm | Ultracarbon | Norit",DB09278,5462310,D002606,D03251,D06ZVG
BADD_D00039,Acyclovir,"Acyclovir | 9-((2-Hydroxyethoxy)methyl)guanine | Aciclovir | Acycloguanosine | Herpoviric | Aciclobeta | Aciclostad | Isavir | Laciken | Mapox | Maynar | Milavir | Opthavir | Supraviran | Viclovir | Vipral | Virax-Puren | Virax Puren | ViraxPuren | Virherpes | Virmen | Virolex | Virupos | Virzin | Wellcome-248U | Wellcome 248U | Wellcome248U | Zoliparin | Zovirax | Zyclir | Aciclovir Alonga | Alonga, Aciclovir | Acifur | Acipen Solutab | Solutab, Acipen | Acivir | Activir | Acyclo-V | Acyclo V | Acyclovir Sodium | Sodium, Acyclovir | Antiherpes Creme | aciclovir von ct | Avirax | Cicloferon | Clonorax | Cusiviral | Genvir | Herpetad | Herpofug | Herpotern | Aci-Sanorania | Aci Sanorania | Aciclovir-Sanorania | Aciclovir Sanorania | Acic",DB00787,135398513,D000212,D00222,D0B5MP
