	gain:cnaCESC1	gain:cnaCESC2	loss:cnaCESC3 (PAX5)	gain:cnaCESC4 (ASXL1)	loss:cnaCESC5 (EXT2)	loss:cnaCESC6 (CASP1)	loss:cnaCESC7	gain:cnaCESC8 (EGFR)	loss:cnaCESC9	loss:cnaCESC10	loss:cnaCESC11 (FAS)	gain:cnaCESC12 (MYC)	loss:cnaCESC13	loss:cnaCESC14	loss:cnaCESC15 (FAT1)
687505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
687506	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
924107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
906824	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
906843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1298134	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
907068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
687514	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
1240179	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
949154	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
930297	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1240212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
930298	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
724839	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
