	gain:cnaCOREAD1	"loss:cnaCOREAD2 (HRAS,IRF7)"	loss:cnaCOREAD3	loss:cnaCOREAD4	loss:cnaCOREAD5	loss:cnaCOREAD6	"gain:cnaCOREAD7 (CHD4,WNK1)"	loss:cnaCOREAD8 (FGFR3)	loss:cnaCOREAD9	loss:cnaCOREAD10	loss:cnaCOREAD11	loss:cnaCOREAD12 (PCDH18)	loss:cnaCOREAD13	loss:cnaCOREAD14	gain:cnaCOREAD15 (TAOK2)	"gain:cnaCOREAD16 (CHD9,CYLD)"	gain:cnaCOREAD17 (MMP2)	loss:cnaCOREAD18	loss:cnaCOREAD19	"gain:cnaCOREAD20 (HSP90AB1,TRERF1)"	loss:cnaCOREAD21	loss:cnaCOREAD22	loss:cnaCOREAD23	loss:cnaCOREAD24	gain:cnaCOREAD25	gain:cnaCOREAD26 (ERBB2)	loss:cnaCOREAD27 (MAP2K4)	loss:cnaCOREAD28 (SOX9)	loss:cnaCOREAD29 (SMARCA4)	loss:cnaCOREAD30	gain:cnaCOREAD31	gain:cnaCOREAD32 (STK4)	loss:cnaCOREAD33	loss:cnaCOREAD34	"gain:cnaCOREAD35 (FLT3,WASF3)"	gain:cnaCOREAD36	"gain:cnaCOREAD37 (ING1,IRS2,TFDP1)"	loss:cnaCOREAD38 (CDKN2A)	loss:cnaCOREAD39 (PTGS1)	loss:cnaCOREAD40	loss:cnaCOREAD41	"loss:cnaCOREAD42 (B2M,BUB1B,MGA,TP53BP1)"	loss:cnaCOREAD43	gain:cnaCOREAD44	gain:cnaCOREAD45	"gain:cnaCOREAD46 (PABPC1,UBR5)"	gain:cnaCOREAD47 (MYC)	loss:cnaCOREAD48	loss:cnaCOREAD49	gain:cnaCOREAD50	gain:cnaCOREAD51 (MET)	loss:cnaCOREAD52	loss:cnaCOREAD53 (ARFGAP3)	loss:cnaCOREAD54 (SMAD4)	loss:cnaCOREAD55	loss:cnaCOREAD56	loss:cnaCOREAD57	loss:cnaCOREAD58 (PTEN)	loss:cnaCOREAD59	loss:cnaCOREAD60	loss:cnaCOREAD61	loss:cnaCOREAD62	loss:cnaCOREAD63 (APC)	gain:cnaCOREAD64 (PIK3CB)	loss:cnaCOREAD65	loss:cnaCOREAD66
910700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
924108	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1240123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1290769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1290771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0
1240124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
905961	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
910569	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
910689	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
910554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
