	loss:cnaESCA1	gain:cnaESCA2 (KRAS)	gain:cnaESCA3 (KRAS)	"gain:cnaESCA4 (FGFR1,WHSC1L1)"	loss:cnaESCA5 (PAX5)	loss:cnaESCA6	gain:cnaESCA7 (ERBB2)	"gain:cnaESCA8 (GNG2,SOS2)"	gain:cnaESCA9 (EGFR)	gain:cnaESCA10	"gain:cnaESCA11 (CCND1,CTTN)"	loss:cnaESCA12	"gain:cnaESCA13 (BLM,CRTC3,IDH2,NR2F2)"	loss:cnaESCA14
906817	0	0	0	0	1	0	0	0	0	0	0	0	0	1
753555	0	0	0	0	0	0	1	0	0	0	1	0	0	1
1503366	1	0	0	0	1	0	1	0	0	0	0	1	0	0
1503367	1	0	0	1	0	0	0	0	0	1	0	1	0	0
1503361	1	0	0	0	0	0	0	0	0	0	0	1	0	0
753559	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1503368	0	0	0	0	0	0	1	0	1	0	0	1	0	0
753573	0	0	0	0	0	0	0	0	0	0	1	0	0	0
907317	0	0	0	0	0	0	0	0	0	0	1	0	0	0
907318	0	0	0	0	0	0	0	0	1	0	1	0	0	1
1240167	0	1	1	0	0	0	0	0	1	0	1	0	0	0
907319	0	0	0	0	0	0	0	0	0	0	0	0	0	0
753574	0	0	0	1	0	0	1	0	0	0	1	0	0	0
907320	1	0	0	0	0	0	0	0	0	0	0	1	0	1
1298222	0	1	1	0	0	0	1	0	1	0	1	0	0	0
907321	0	0	0	0	0	0	0	1	0	0	1	0	1	0
753575	0	0	0	0	0	0	0	0	1	0	0	0	0	1
753576	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1503363	1	0	0	0	1	0	0	0	0	0	0	1	0	0
1503362	0	0	0	0	0	0	1	0	0	0	0	0	0	0
910079	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1298359	0	0	0	0	0	0	0	0	1	0	1	0	0	1
910549	0	0	0	0	0	0	1	0	0	1	0	1	1	0
1503365	1	0	0	0	0	0	0	0	0	0	0	0	0	0
753621	0	0	0	0	0	0	0	0	0	0	0	0	0	0
753622	0	0	0	0	0	0	0	0	0	0	1	0	0	0
946354	0	0	0	0	0	0	0	0	0	0	1	0	0	0
946356	0	0	0	0	0	0	0	0	0	0	0	0	0	0
753614	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1503371	0	0	0	0	0	0	1	0	1	0	0	0	0	0
735784	0	0	0	0	0	0	0	1	0	0	0	0	0	0
946355	0	0	0	0	0	0	1	0	0	0	1	0	0	1
753623	0	0	0	0	0	0	0	0	1	0	1	0	0	0
946353	0	0	0	0	0	0	0	0	0	0	1	1	0	1
1299064	0	1	1	0	0	0	0	0	0	0	1	0	0	1
