	gain:cnaKIRC1	loss:cnaKIRC2	loss:cnaKIRC3	loss:cnaKIRC4	loss:cnaKIRC5	loss:cnaKIRC6 (SOX17)	loss:cnaKIRC7 (CDKN2A)	loss:cnaKIRC8	gain:cnaKIRC9	loss:cnaKIRC10	loss:cnaKIRC11	loss:cnaKIRC12	loss:cnaKIRC13	loss:cnaKIRC14	loss:cnaKIRC15	loss:cnaKIRC16	loss:cnaKIRC17	gain:cnaKIRC18	loss:cnaKIRC19	loss:cnaKIRC20	loss:cnaKIRC21	loss:cnaKIRC22	loss:cnaKIRC23	"loss:cnaKIRC24 (FAT1,IRF2)"	gain:cnaKIRC25 (RASA1)	gain:cnaKIRC26	loss:cnaKIRC27
910922	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0
905947	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
905948	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
910920	0	0	1	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0
905950	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
753533	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0
910698	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
905963	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
910952	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
753558	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1298168	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1298169	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
753577	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
753578	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
753585	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1
1509073	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0
1509074	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0
909250	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
909974	0	0	1	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0
1524418	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0
1524417	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0
1524414	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
1524415	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
1524416	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1524419	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0
905978	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
905979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
905980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
905981	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1240224	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
909781	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0
