	"loss:cnaLGG1 (BNC2,CDKN2A,JAK2,PSIP1)"	loss:cnaLGG2	loss:cnaLGG3 (PAX5)	gain:cnaLGG4	gain:cnaLGG5	"gain:cnaLGG6 (MDM4,PIK3C2B,ZC3H11A)"	loss:cnaLGG7 (RPL22)	loss:cnaLGG8	loss:cnaLGG9	gain:cnaLGG10	gain:cnaLGG11 (KRAS)	loss:cnaLGG12	"gain:cnaLGG13 (FGFR1,WHSC1L1)"	loss:cnaLGG14 (CUL2)	gain:cnaLGG15	gain:cnaLGG16 (EGFR)	loss:cnaLGG17
946369	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
946373	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
906868	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
906871	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0
907042	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1240150	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
907271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
907279	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
907282	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
924188	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
908144	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
908145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
908449	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
908452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
908450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
905984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
909750	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
