	gain:cnaLUSC1	gain:cnaLUSC2	loss:cnaLUSC3	loss:cnaLUSC4	"loss:cnaLUSC5 (HRAS,IRF7)"	"gain:cnaLUSC6 (FGFR1,WHSC1L1)"	gain:cnaLUSC7 (MYC)	loss:cnaLUSC8	gain:cnaLUSC9	loss:cnaLUSC10 (CDKN2A)	"loss:cnaLUSC11 (GNAQ,NTRK2,PCSK5,TJP2)"	loss:cnaLUSC12	loss:cnaLUSC13	"gain:cnaLUSC14 (CCT5,TERT,TRIO)"	loss:cnaLUSC15	loss:cnaLUSC16	"loss:cnaLUSC17 (FAT1,IRF2)"	gain:cnaLUSC18	"gain:cnaLUSC19 (MDM2,NUP107)"	gain:cnaLUSC20 (TAOK1)	loss:cnaLUSC21	loss:cnaLUSC22 (SMARCA4)	loss:cnaLUSC23	"gain:cnaLUSC24 (NCK1,STAG1)"	gain:cnaLUSC25	gain:cnaLUSC26 (SOX2)	"gain:cnaLUSC27 (EIF4A2,RFC4)"	loss:cnaLUSC28	loss:cnaLUSC29 (FOXP1)	gain:cnaLUSC30	gain:cnaLUSC31 (MYCN)	"gain:cnaLUSC32 (BCL11A,REL,XPO1)"	gain:cnaLUSC33 (INPP4A)	gain:cnaLUSC34 (NFE2L2)	loss:cnaLUSC35 (CUL3)	loss:cnaLUSC36	gain:cnaLUSC37	gain:cnaLUSC38	gain:cnaLUSC39	gain:cnaLUSC40 (EGFR)	gain:cnaLUSC41 (AKAP9)	loss:cnaLUSC42	loss:cnaLUSC43	loss:cnaLUSC44	"gain:cnaLUSC45 (FOXA1,NKX2-1)"	"gain:cnaLUSC46 (AKT1,HSP90AA1,PPP2R5C)"	gain:cnaLUSC47	gain:cnaLUSC48 (MCM3)	gain:cnaLUSC49	loss:cnaLUSC50	loss:cnaLUSC51	"gain:cnaLUSC52 (BLM,CRTC3,FANCI,IDH2,NR2F2,PCSK6)"	"loss:cnaLUSC53 (FAS,PTEN)"	loss:cnaLUSC54
753554	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
753556	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
1240142	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1240143	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
753569	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
1298223	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
687787	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1298226	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1240183	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
687815	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0
905941	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
908443	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
1298538	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
909728	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
724879	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
