	gain:cnaBLCA1	gain:cnaBLCA2	"gain:cnaBLCA3 (GATA3,KLF6,LARP4B,VIM)"	"gain:cnaBLCA4 (FGFR3,WHSC1)"	"loss:cnaBLCA5 (FAT1,IRF2)"	loss:cnaBLCA6	gain:cnaBLCA7	gain:cnaBLCA8	gain:cnaBLCA9	loss:cnaBLCA10	loss:cnaBLCA11	gain:cnaBLCA12 (MACF1)	gain:cnaBLCA13 (SDHC)	loss:cnaBLCA14	gain:cnaBLCA15 (ASXL1)	gain:cnaBLCA16 (ERBB2)	loss:cnaBLCA17	"loss:cnaBLCA18 (CHD9,CNOT1,CYLD,MMP2,NUP93)"	"gain:cnaBLCA19 (ERCC5,ING1,IRS2,TFDP1)"	loss:cnaBLCA20	gain:cnaBLCA21 (EGFR)	gain:cnaBLCA22 (PABPC1)	gain:cnaBLCA23 (MYC)	loss:cnaBLCA24
687452	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
906798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
906797	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
910926	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
1290730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
753552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
907065	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
907066	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	1	1	0
753566	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
907312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
753584	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
909704	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
687455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
909749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
687457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
724812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
687459	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
724838	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
909780	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
