	loss:cnaBRCA1 (STK11)	loss:cnaBRCA2 (SMARCA4)	loss:cnaBRCA3	loss:cnaBRCA4	"gain:cnaBRCA5 (GATA3,KLF6,LARP4B,VIM)"	loss:cnaBRCA6	"loss:cnaBRCA7 (FAS,PTEN)"	"gain:cnaBRCA8 (CHD4,WNK1)"	gain:cnaBRCA9 (KRAS)	"gain:cnaBRCA10 (MDM2,NUP107)"	loss:cnaBRCA11	gain:cnaBRCA12 (TERT)	"gain:cnaBRCA13 (FGFR1,WHSC1L1)"	gain:cnaBRCA14 (RAD21)	gain:cnaBRCA15	gain:cnaBRCA16	loss:cnaBRCA17	loss:cnaBRCA18	gain:cnaBRCA19	loss:cnaBRCA20	loss:cnaBRCA21	"loss:cnaBRCA22 (SYNCRIP,ZNF292)"	loss:cnaBRCA23	loss:cnaBRCA24	"loss:cnaBRCA25 (ARID1B,MAP3K4,MLLT4)"	"gain:cnaBRCA26 (CDK12,ERBB2,MED24)"	"gain:cnaBRCA27 (CLTC,PPM1D)"	loss:cnaBRCA28 (GPS2)	loss:cnaBRCA29 (MAP2K4)	"gain:cnaBRCA30 (CRNKL1,FOXA2)"	gain:cnaBRCA31	"loss:cnaBRCA32 (PABPC3,SACS,ZMYM2)"	loss:cnaBRCA33	loss:cnaBRCA34	loss:cnaBRCA35	"loss:cnaBRCA36 (FAT1,IRF2)"	"gain:cnaBRCA37 (BLM,CRTC3,FANCI,IDH2,NR2F2,PCSK6)"	loss:cnaBRCA38	"gain:cnaBRCA39 (FOXA1,NKX2-1,PSMA6)"	gain:cnaBRCA40	loss:cnaBRCA41	loss:cnaBRCA42	loss:cnaBRCA43	loss:cnaBRCA44 (PAX5)	loss:cnaBRCA45	loss:cnaBRCA46	gain:cnaBRCA47 (EGFR)	gain:cnaBRCA48	loss:cnaBRCA49	loss:cnaBRCA50	loss:cnaBRCA51	loss:cnaBRCA52	loss:cnaBRCA53	loss:cnaBRCA54	loss:cnaBRCA55	loss:cnaBRCA56	loss:cnaBRCA57	gain:cnaBRCA58 (CCND1)	loss:cnaBRCA59	loss:cnaBRCA60	gain:cnaBRCA61 (NOTCH2)	gain:cnaBRCA62	gain:cnaBRCA63	gain:cnaBRCA64 (SDHC)	loss:cnaBRCA65
910704	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
906801	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
946359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
949093	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
905951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
906826	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
924106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
910927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
910852	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
946382	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1
906812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
906844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
906851	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1290798	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
906862	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
749710	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
749711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
