	gain:cnaLIHC1 (TERT)	loss:cnaLIHC2 (RPL22)	loss:cnaLIHC3	gain:cnaLIHC4	gain:cnaLIHC5	loss:cnaLIHC6 (ACVR2A)	loss:cnaLIHC7 (CDKN2A)	loss:cnaLIHC8 (PAX5)	gain:cnaLIHC9 (FOXA2)	loss:cnaLIHC10 (RB1)	gain:cnaLIHC11	loss:cnaLIHC12	loss:cnaLIHC13
910850	0	0	0	0	0	0	0	0	0	0	0	0	0
1240147	0	0	0	0	0	0	0	0	0	1	0	0	0
907057	0	0	0	0	0	0	0	0	0	1	0	0	0
1298146	0	0	0	0	0	0	1	0	0	0	0	0	0
907071	0	0	0	0	0	0	0	0	0	0	0	0	0
1298151	0	0	0	0	0	0	0	0	0	0	0	0	0
1240159	0	0	0	0	0	0	0	0	0	0	0	0	0
1240160	0	0	0	0	0	0	0	0	0	0	0	0	0
909719	0	0	0	0	0	0	1	0	0	0	0	0	0
1240216	0	0	0	0	0	0	0	0	0	0	0	0	1
909736	0	0	0	0	0	0	1	0	0	0	0	0	0
1240217	0	0	0	0	0	0	0	0	0	0	0	0	0
909737	1	0	0	0	1	0	0	0	1	0	1	0	0
909738	0	0	0	0	0	0	1	0	0	1	0	0	1
909739	0	0	0	0	0	0	0	0	0	0	0	0	0
