,0
0,LASP1
1,HOXA11
2,CREBBP
3,ETV1
4,GAS7
5,CD79B
6,PAX7
7,BTK
8,BRCA1
9,WAS
10,WWTR1
11,CD74
12,BIRC3
13,FAS
14,BCLAF1
15,ANK1
16,RABEP1
17,ZCCHC8
18,CUL3
19,FLT4
20,CDH1
21,CDH10
22,TNC
23,EPHA3
24,PREX2
25,TPR
26,GOPC
27,ROS1
28,TNFRSF17
29,ELN
30,ARID1B
31,HERPUD1
32,POLQ
33,PIK3CB
34,THRAP3
35,KMT2C
36,PRDM1
37,POLD1
38,CASP8
39,PMS1
40,NTHL1
41,ERBB3
42,SPEN
43,MAP2K4
44,CTNNA2
45,SMARCD1
46,GOLGA5
47,FGFR2
48,KLF6
49,RHOA
50,ATP2B3
51,CBFB
52,FGFR3
53,TFE3
54,BCL3
55,CLTCL1
56,FSTL3
57,PABPC1
58,TCF3
59,PRKACA
60,TFRC
61,AFF4
62,SMC1A
63,FCGR2B
64,TP63
65,SDHA
66,SMARCE1
67,KDM5A
68,IGF2BP2
69,MAP3K13
70,PICALM
71,EED
72,ARHGEF10L
73,MLH1
74,NT5C2
75,NFKB2
76,FGFR1
77,ARAF
78,N4BP2
79,HOXA9
80,MLLT10
81,PCM1
82,RUNX1T1
83,CDH17
84,CIC
85,DNM2
86,KEAP1
87,HSP90AA1
88,PTPRC
89,ERC1
90,XPO1
91,PALB2
92,KAT6A
93,CYLD
94,FAT1
95,NCOA1
96,BCORL1
97,ATRX
98,MECOM
99,EPS15
100,BAX
101,GNAS
102,CNOT3
103,GNA11
104,FUS
105,CD209
106,FH
107,ESR1
108,EZR
109,MSH2
110,MAP3K1
111,HSP90AB1
112,JAK2
113,ABL1
114,LZTR1
115,SMARCB1
116,MAPK1
117,PDGFB
118,MYH9
119,EP300
120,NIN
121,HIF1A
122,DICER1
123,TCL1A
124,CCNB1IP1
125,TRIP11
126,ARHGAP5
127,NFATC2
128,SALL4
129,PTK6
130,CRNKL1
131,STAG2
132,ELF4
133,GATA1
134,CTCF
135,AXIN1
136,TSC2
137,IL21R
138,NBN
139,IKBKB
140,EIF3E
141,NDRG1
142,UBR5
143,LEPROTL1
144,ARHGEF10
145,ERCC2
146,LYL1
147,CCNE1
148,AKT2
149,CD79A
150,PPP2R1A
151,TFPT
152,JAK3
153,ELL
154,CRTC1
155,CDK6
156,MET
157,HOXA13
158,EZH2
159,SFRP4
160,GATA3
161,BMPR1A
162,TLX1
163,CPEB3
164,SUFU
165,LARP4B
166,CCDC6
167,RNF43
168,DDX5
169,COL1A1
170,HLF
171,PRKAR1A
172,YWHAE
173,PHOX2B
174,CHIC2
175,IL2
176,FBXW7
177,ZBTB16
178,CCND1
179,DDX6
180,CBL
181,CARS
182,NUP98
183,POU2AF1
184,PPFIBP1
185,PRPF40B
186,BCL7A
187,GLI1
188,SH2B3
189,ALDH2
190,CDKN1B
191,CHD4
192,PTPN6
193,FANCE
194,SRSF3
195,BMP5
196,CCNC
197,QKI
198,TFEB
199,CCND3
200,ITK
201,DROSHA
202,LIFR
203,PDGFRB
204,BCL6
205,TFG
206,CBLB
207,FOXP1
208,ACVR1
209,SF3B1
210,BIRC6
211,STRN
212,EPAS1
213,NFE2L2
214,MSH6
215,BCL9
216,PRRX1
217,RPL22
218,SFPQ
219,PRDM2
220,MYCL
221,AKT3
222,SDHB
223,ID3
224,MPL
225,ARID1A
226,STAG1
227,STK11
228,KMT2A
229,CREB1
230,TNFAIP3
231,MYB
232,SGK1
233,FOXO3
234,CCND2
235,SET
236,CNTRL
237,PPP6C
238,NR4A3
239,CSF3R
240,KDSR
241,DNMT3A
242,BCL11A
243,CD274
244,KCNJ5
245,SPOP
246,CEP89
247,PIK3CA
248,CXCR4
249,ACVR2A
250,FLT3
251,RPL5
252,PMS2
253,HNRNPA2B1
254,FKBP9
255,KIAA1549
256,TRIM24
257,CDKN2C
258,ATF1
259,HOXC13
260,HOXC11
261,STIL
262,ACSL3
263,SDC4
264,PLCG1
265,CDKN1A
266,DEK
267,SOX21
268,SEPT6
269,PAX8
270,MAX
271,KDM5C
272,CCR7
273,BCL2L12
274,SBDS
275,ZNF384
276,SSX1
277,KTN1
278,SIX1
279,NUP214
280,MAP2K2
281,OMD
282,BCL11B
283,PTPRB
284,SMARCA4
285,AKAP9
286,HIP1
287,KDR
288,DGCR8
289,SPECC1
290,POT1
291,SMO
292,HOXD11
293,HOXD13
294,KNSTRN
295,MYOD1
296,USP6
297,FOXA1
298,CBFA2T3
299,MLLT1
300,MNX1
301,CLIP1
302,ZNF331
303,LATS1
304,TRAF7
305,RARA
306,DNAJB1
307,RAF1
308,PPARG
309,H3F3B
310,MUTYH
311,CASP9
312,IRS4
313,MYH11
314,BTG1
315,KRAS
316,MEN1
317,VHL
318,NOTCH2
319,MYCN
320,IL6ST
321,CDC73
322,DDB2
323,PDGFRA
324,ERCC5
325,APC
326,HNF1A
327,TBX3
328,EPHA7
329,LMO2
330,CDK4
331,TEC
332,MDM2
333,PAX3
334,TMEM127
335,USP44
336,LCP1
337,RAC1
338,NKX2-1
339,BRIP1
340,KAT7
341,ABI1
342,KLF4
343,XPA
344,MYC
345,PIM1
346,IRF4
347,HMGA1
348,NUMA1
349,FBXO11
350,CYP2C8
351,TET1
352,ATIC
353,BARD1
354,IDH1
355,ITGAV
356,USP8
357,RAP1GDS1
358,LEF1
359,ETV6
360,ETNK1
361,COL2A1
362,LRIG3
363,BRCA2
364,RB1
365,SETD1B
366,TCF12
367,NCOA2
368,PML
369,POLG
370,NTRK3
371,CRTC3
372,ZFHX3
373,CDH11
374,NCOR1
375,CLTC
376,SS18
377,TP53
378,SMAD4
379,ERBB2
380,BRD4
381,VAV1
382,SH3GL1
383,AKT1
384,CBLC
385,PRDM16
386,BCL10
387,SDHC
388,PRCC
389,ABL2
390,SETDB1
391,ARNT
392,TPM3
393,S100A7
394,EML4
395,ASXL2
396,AFF3
397,ACKR3
398,FANCD2
399,LPP
400,MUC4
401,FIP1L1
402,PIK3R1
403,ARHGAP26
404,NFKBIE
405,RSPO3
406,EGFR
407,KDM6A
408,MSN
409,ZMYM3
410,NONO
411,GPC3
412,RPL10
413,RSPO2
414,FAM135B
415,NFIB
416,CDKN2A
417,NOTCH1
418,ZEB1
419,A1CF
420,TCF7L2
421,ATM
422,HMGA2
