,0
0,1
1,1001
2,1003
3,1004
4,1005
5,1006
6,1007
7,1008
8,1009
9,1010
10,1011
11,1012
12,1013
13,1014
14,1015
15,1016
16,1017
17,1018
18,1019
19,1020
20,1021
21,1022
22,1023
23,1024
24,1025
25,1026
26,1028
27,1029
28,1030
29,1031
30,1032
31,1033
32,1036
33,1037
34,1038
35,1039
36,104
37,1042
38,1043
39,1046
40,1047
41,1049
42,1050
43,1052
44,1053
45,1054
46,1057
47,1058
48,1059
49,106
50,1060
51,1061
52,1062
53,1066
54,1067
55,1069
56,1072
57,1091
58,11
59,110
60,111
61,1114
62,1129
63,1133
64,1142
65,1143
66,1149
67,1158
68,1161
69,1164
70,1166
71,1170
72,1175
73,119
74,1192
75,1194
76,1199
77,1203
78,1218
79,1219
80,1230
81,1236
82,1239
83,1241
84,1242
85,1243
86,1248
87,1259
88,1261
89,1262
90,1264
91,1268
92,127
93,133
94,134
95,135
96,136
97,1371
98,1372
99,1373
100,1375
101,1377
102,1378
103,140
104,147
105,1494
106,1495
107,1498
108,150
109,1502
110,151
111,152
112,1526
113,1527
114,1529
115,153
116,154
117,155
118,156
119,157
120,158
121,159
122,163
123,164
124,165
125,166
126,167
127,17
128,170
129,171
130,172
131,173
132,175
133,176
134,177
135,178
136,179
137,180
138,182
139,184
140,185
141,186
142,190
143,192
144,193
145,194
146,196
147,197
148,199
149,200
150,201
151,202
152,203
153,204
154,205
155,206
156,207
157,208
158,211
159,219
160,221
161,222
162,223
163,224
164,225
165,226
166,228
167,229
168,230
169,231
170,235
171,238
172,245
173,249
174,252
175,253
176,254
177,255
178,256
179,257
180,258
181,260
182,261
183,262
184,263
185,265
186,266
187,268
188,269
189,271
190,272
191,273
192,274
193,275
194,276
195,277
196,279
197,281
198,282
199,283
200,286
201,287
202,288
203,29
204,290
205,291
206,292
207,293
208,294
209,295
210,298
211,299
212,3
213,30
214,300
215,301
216,302
217,303
218,304
219,305
220,306
221,308
222,309
223,310
224,312
225,32
226,326
227,328
228,329
229,330
230,331
231,332
232,333
233,34
234,341
235,344
236,345
237,346
238,35
239,37
240,38
241,41
242,45
243,5
244,51
245,52
246,53
247,54
248,55
249,56
250,59
251,6
252,60
253,62
254,63
255,64
256,71
257,83
258,86
259,87
260,88
261,89
262,9
263,91
264,94
