,0
0,TL-2-105
1,TAK-715
2,CP466722
3,BMS-345541
4,Genentech Cpd 10
5,GSK429286A
6,Ruxolitinib
7,SB-715992
8,ZSTK474
9,KIN001-102
10,CAL-101
11,GW-2580
12,BMS-708163
13,BX-912
14,LY317615
15,WZ3105
16,XMD14-99
17,CP724714
18,JW-7-24-1
19,ABT-869
20,GSK2126458
21,PHA-793887
22,TG101348
23,QL-XI-92
24,XMD15-27
25,QL-XII-47
26,AC220
27,EKB-569
28,Masitinib
29,OSI-930
30,XMD13-2
31,Bleomycin (50 uM)
32,AT-7519
33,XL-184
34,NPK76-II-72-1
35,NG-25
36,TL-1-85
37,VX-11e
38,FR-180204
39,"Zibotentan, ZD4054"
40,BIX02189
41,KIN001-236
42,KIN001-055
43,KIN001-266
44,NVP-BHG712
45,PIK-93
46,TPCA-1
47,Y-39983
48,YM201636
49,AV-951
50,GSK690693
51,KIN001-270
52,CH5424802
53,KIN001-244
54,KIN001-260
55,SB52334
56,AS605240
57,STF-62247
58,I-BET
59,MPS-1-IN-1
60,CX-5461
61,Tubastatin A
62,VNLG/124
63,XL-880
64,EX-527
65,THZ-2-49
66,PFI-1
67,UNC0638
68,UNC0638
69,OSI-027
70,SN-38
71,MP470
72,T0901317
73,IOX2
74,5-Fluorouracil
75,NSC-207895
76,CAY10603
77,GSK269962A
78,SB-505124
79,Tamoxifen
80,piperlongumine
81,PI-103
82,Phenformin
83,SNX-2112
84,BMS-708163
85,BMS-536924
86,AR-42
87,EHT 1864
88,QL-X-138
89,CCT007093
90,AG-014699
91,AZD6244
92,TW 37
93,rTRAIL
94,XAV 939
95,JNJ-26854165
96,PLX4720 (rescreen)
97,CUDC-101
98,THZ-2-102-1
99,(5Z)-7-Oxozeaenol
100,JQ1
101,CHIR-99021
102,BMN-673
103,Afatinib (rescreen)
104,UNC1215
105,SGC0946
106,Temozolomide
107,GSK1070916
108,"PXD101, Belinostat"
109,PF-4708671
110,Olaparib (rescreen)
111,YM155
112,FK866
113,AZD6482
114,Etoposide
115,Vinorelbine
116,Midostaurin
117,CCT018159
118,AP-24534
119,JNK-9L
120,JQ1
121,FTI-277
122,Trametinib
123,CHIR-99021
124,Shikonin
125,AKT inhibitor VIII
126,NSC-87877
127,AZD6482
128,HG-6-64-1
129,DMOG
130,JQ12
131,Mitomycin C
132,Embelin
133,LAQ824
134,Doxorubicin
135,QS11
136,Epothilone B
137,GSK-1904529A
138,Bicalutamide
139,OSU-03012
140,IPA-3
141,LFM-A13
142,GDC0941 (rescreen)
143,Tipifarnib
144,FH535
145,BAY 61-3606
146,Pazopanib
147,AS601245
148,BMS-754807
149,OSI-906
150,Gemcitabine
151,Bryostatin 1
152,Obatoclax Mesylate
153,Bleomycin
154,PF-562271
155,GSK-650394
156,AUY922
157,RDEA119 (rescreen)
158,Bicalutamide
159,PAC-1
160,Bexarotene
161,Cetuximab
162,Dabrafenib
163,Thapsigargin
164,Vorinostat
165,Bosutinib
166,Lenalidomide
167,Vinblastine
168,Cisplatin
169,Docetaxel
170,Olaparib
171,ABT-888
172,17-AAG
173,Vismodegib
174,Camptothecin
175,Methotrexate
176,ABT-263
177,AZD7762
178,CEP-701
179,AMG-706
180,Elesclomol
181,Afatinib
182,BX-795
183,Nutlin-3a
184,PD-173074
185,RO-3306
186,KU-55933
187,PLX4720
188,Axitinib
189,GW 441756
190,VX-702
191,JNK Inhibitor VIII
192,Cytarabine
193,Gefitinib
194,NU-7441
195,NVP-BEZ235
196,GDC0941
197,AZD8055
198,PD-0325901
199,AICAR
200,ATRA
201,RDEA119
202,CI-1040
203,BIRB 0796
204,Temsirolimus
205,SL 0101-1
206,SB590885
207,MK-2206
208,PD-0332991
209,AZD6244
210,FMK
211,Nilotinib
212,ZM-447439
213,YK 4-279
214,681640
215,SB 216763
216,MLN4924
217,QL-VIII-58
218,XMD8-92
219,HG-5-113-01
220,XMD11-85h
221,ZG-10
222,HG-5-88-01
223,QL-XII-61
224,PHA-665752
225,NVP-TAE684
226,Crizotinib
227,Imatinib
228,AZD-0530
229,AZ628
230,Parthenolide
231,KIN001-135
232,Sorafenib
233,Bortezomib
234,GSK269962A
235,MG-132
236,Paclitaxel
237,A-770041
238,BMS-509744
239,Pyrimethamine
240,GW843682X
241,MS-275
242,TGX221
243,Sunitinib
244,Z-LLNle-CHO
245,CGP-60474
246,CGP-082996
247,WZ-1-84
248,BMS-536924
249,CMK
250,A-443654
251,S-Trityl-L-cysteine
252,BI-2536
253,GNF-2
254,WH-4-023
255,Salubrinal
256,Dasatinib
257,XMD8-85
258,Roscovitine
259,Lapatinib
260,Cyclopamine
261,VX-680
262,JW-7-52-1
263,Erlotinib
264,Rapamycin
