,0
0,TSPAN6
1,TNMD
2,DPM1
3,SCYL3
4,C1orf112
5,FGR
6,CFH
7,FUCA2
8,GCLC
9,NFYA
10,STPG1
11,NIPAL3
12,LAS1L
13,ENPP4
14,SEMA3F
15,CFTR
16,ANKIB1
17,KRIT1
18,RAD52
19,BAD
20,LAP3
21,CD99
22,HS3ST1
23,ABP1
24,WNT16
25,HECW1
26,MAD1L1
27,LASP1
28,SNX11
29,TMEM176A
30,M6PR
31,KLHL13
32,CYP26B1
33,ICA1
34,DBNDD1
35,ALS2
36,CASP10
37,CFLAR
38,TFPI
39,NDUFAF7
40,RBM5
41,MTMR7
42,SLC7A2
43,ARF5
44,SARM1
45,POLDIP2
46,PLXND1
47,AK2
48,CD38
49,FKBP4
50,KDM1A
51,RBM6
52,CAMKK1
53,RECQL
54,CCDC132
55,HSPB6
56,ARHGAP33
57,NDUFAB1
58,PDK4
59,SLC22A16
60,ZMYND10
61,ABCB5
62,ARX
63,SLC25A13
64,ST7
65,CDC27
66,SLC4A1
67,CALCR
68,HCCS
69,DVL2
70,PRSS22
71,UPF1
72,SKAP2
73,SLC25A5
74,CCDC109B
75,HOXA11
76,POLR2J
77,MEOX1
78,THSD7A
79,LIG3
80,RPAP3
81,ACSM3
82,nan
83,CIAPIN1
84,SPPL2B
85,FAM214B
86,COPZ2
87,PRKAR2B
88,MSL3
89,CREBBP
90,BZRAP1
91,MPO
92,PON1
93,GCFC2
94,WDR54
95,CROT
96,ABCB4
97,MLL5
98,RHBDD2
99,SOX8
100,IBTK
101,ZNF195
102,MYCBP2
103,FBXL3
104,ITGAL
105,PDK2
106,ITGA3
107,ZFX
108,LAMP2
109,GGNBP2
110,ITGA2B
111,ASB4
112,GDE1
113,C19orf60
114,CRLF1
115,OSBPL7
116,TMEM98
117,YBX2
118,KRT33A
119,MAP3K14
120,ABCC8
121,CCL18
122,CCL3
123,SYNRG
124,CACNG3
125,TMEM132A
126,AP2B1
127,TAC1
128,ZNF263
129,CX3CL1
130,SPATA20
131,CACNA1G
132,TNFRSF12A
133,DLX6
134,MAP3K9
135,RALA
136,BAIAP2L1
137,JHDM1D
138,ETV1
139,AGK
140,ALDH3B1
141,TTC22
142,PHTF2
143,CCL26
144,FARP2
145,USH1C
146,GGCT
147,DBF4
148,TBXA2R
149,IFRD1
150,LGALS14
151,COX10
152,GTF2IRD1
153,PAF1
154,VPS41
155,ARHGAP44
156,ELAC2
157,SCIN
158,ARSD
159,PNPLA4
160,MYH13
161,ADIPOR2
162,CDKL3
163,UPP2
164,PRSS21
165,MARK4
166,PROM1
167,CCDC124
168,CEACAM21
169,PAFAH1B1
170,NOS2
171,DNAH9
172,KIAA0100
173,SLC13A2
174,GAS7
175,TRAPPC6A
176,MATK
177,CEACAM7
178,CD79B
179,SCN4A
180,ST7L
181,TKTL1
182,PAX6
183,RPUSD1
184,RHBDF1
185,LUC7L
186,CACNA2D2
187,BAIAP3
188,TSR3
189,PIGQ
190,TEAD3
191,SELE
192,DNAJC11
193,FMO3
194,MYLIP
195,NOX1
196,E2F2
197,PSMB1
198,SYN1
199,JARID2
200,CDKL5
201,CAMK1G
202,CDK11A
203,NADK
204,TFAP2B
205,TFAP2D
206,DLEC1
207,CYTH3
208,ADAM22
209,SYPL1
210,CYB561
211,SPAG9
212,CELSR3
213,AASS
214,PLEKHG6
215,SS18L2
216,MPND
217,MGST1
218,CRY1
219,PGLYRP1
220,NFIX
221,ST3GAL1
222,MMP25
223,PKD1
224,MAPK8IP2
225,MED24
226,RHOBTB2
227,HEATR5B
228,SEC62
229,RPS20
230,CSDE1
231,UBE3C
232,REV3L
233,TENM1
234,PAX7
235,MASP2
236,IYD
237,FAM76A
238,TRAF3IP3
239,POMT2
240,VTA1
241,MLXIPL
242,BAZ1B
243,RANBP9
244,ETV7
245,SPRTN
246,METTL13
247,ZNF207
248,UQCRC1
249,STARD3NL
250,CD9
251,NCAPD2
252,IFFO1
253,GIPR
254,PHF7
255,SEMA3G
256,NISCH
257,STAB1
258,FUZ
259,SLC6A13
260,IDS
261,PRSS3
262,ZNF200
263,CD4
264,LRRC23
265,BTK
266,HFE
267,SCMH1
268,FYN
269,HIVEP2
270,FMO1
271,TCEB3
272,LYPLA2
273,CLCN6
274,MRC2
275,SLC6A7
276,TSPAN9
277,BTBD7
278,APBA3
279,MKS1
280,ABHD5
281,KAL1
282,AKAP8L
283,MBTD1
284,UTP18
285,RNF216
286,TTC19
287,PTBP1
288,DPF1
289,SYT7
290,LARS2
291,PIK3C2A
292,PLAUR
293,ANLN
294,WIZ
295,RABGAP1
296,DCN
297,QPCTL
298,PPP5C
299,CEP68
300,MAP4K3
301,ZBTB32
302,TYROBP
303,TMEM159
304,GABRA3
305,BRCA1
306,ERCC1
307,CD22
308,SEMA3B
309,MBTPS2
310,PRICKLE3
311,LTF
312,EXTL3
313,NR1H4
314,ELOVL5
315,ALOX5
316,KDM5D
317,CALCOCO1
318,UBR7
319,MAP4K5
320,EHD3
321,PSMC4
322,MAN2B2
323,SLC7A14
324,CLDN11
325,SLC25A39
326,MVP
327,NUB1
328,PGM3
329,RWDD2A
330,CLK1
331,POLR3B
332,ANGEL1
333,RNF14
334,DNASE1L1
335,DDX11
336,HEBP1
337,GPRC5A
338,MAMLD1
339,CD6
340,TACC3
341,UFL1
342,POLA2
343,ZC3H3
344,CAPN1
345,ACPP
346,MDH1
347,SLC30A9
348,MTMR11
349,COX15
350,CCDC88C
351,YAF2
352,ZMYND11
353,WAS
354,DPEP1
355,BID
356,MATR3
357,NPC1L1
358,XYLT2
359,STMN4
360,NUDCD3
361,ISL1
362,CHDH
363,IL20RA
364,CLCA1
365,CLCA4
366,GLT8D1
367,ATP2C1
368,SRCIN1
369,IGF1
370,SLC38A5
371,MAGIX
372,RALBP1
373,RUFY3
374,CNTN1
375,SLC11A1
376,WWTR1
377,AGPS
378,CXorf56
379,ATP1A2
380,TTC27
381,ZNF582
382,VSIG2
383,PHLDB1
384,MARCO
385,CYP24A1
386,PRDM11
387,SYT13
388,SNAI2
389,CD74
390,HGF
391,ZRANB1
392,NCDN
393,GPR124
394,ZFP64
395,SAMD4A
396,RUNX3
397,MRE11A
398,PLEKHB1
399,SERPINB1
400,CYP3A43
401,SLC7A9
402,SPAST
403,NRXN3
404,OSBPL5
405,AQR
406,CPS1
407,C8B
408,FHL1
409,RTFDC1
410,GABRA1
411,NLRP2
412,SLC45A4
413,RNF10
414,ZNF839
415,ZDHHC6
416,GRAMD1B
417,RNH1
418,NDUFS1
419,RB1CC1
420,ERP44
421,ALAS1
422,BIRC3
423,AKAP11
424,GLRX2
425,SNAPC1
426,DERA
427,STRAP
428,ABCC2
429,DEF6
430,PLEKHO1
431,GCLM
432,UBR2
433,EHD2
434,DEPDC1
435,CCDC28A
436,RRAGD
437,HSF2
438,PHF20
439,NR1H3
440,TYMP
441,NCAPH2
442,TOMM34
443,SEC63
444,KPNA6
445,VIM
446,FAS
447,CD44
448,KCNG1
449,AGPAT4
450,SLAMF7
451,BTN3A1
452,MIPEP
453,INSRR
454,IFNGR1
455,B4GALT7
456,SH2D2A
457,VRK2
458,TNFRSF1B
459,VEZT
460,POU2F2
461,BRD9
462,SNX1
463,TBPL1
464,ARNTL2
465,BCLAF1
466,SLC39A9
467,ANK1
468,TFB1M
469,RABEP1
470,HMGB3
471,NUP160
472,BAK1
473,MUSK
474,GRN
475,FAM13B
476,ARHGAP31
477,NR2E3
478,CENPQ
479,SARS
480,RANBP3
481,ARID4A
482,TSSC1
483,PNPLA6
484,IFT88
485,ALG1
486,ZCCHC8
487,ABCF2
488,CHPF2
489,LRRC7
490,FUT8
491,UBA6
492,GAB2
493,ATP6V0A1
494,PIAS1
495,SLC4A7
496,APBA2
497,MAP2K3
498,EFCAB1
499,TMSB10
500,ASTE1
501,RNF19A
502,PEX3
503,GABARAPL2
504,MYOC
505,SH3YL1
506,FAM136A
507,VCL
508,DEPDC1B
509,DAPK2
510,NSMAF
511,ADSS
512,STAP1
513,TIMP2
514,RFC1
515,TBC1D23
516,CUL3
517,MYOM2
518,CYP46A1
519,ZZZ3
520,SLC18A1
521,USP2
522,CASR
523,TUBG2
524,FLT4
525,NSUN2
526,FBXO42
527,MFAP3
528,MRI1
529,METTL1
530,AGA
531,PI4K2B
532,BOD1L1
533,MAT2B
534,TLL1
535,EDC4
536,TRIO
537,VCAN
538,CLEC16A
539,MSR1
540,CDH1
541,SKIV2L2
542,DNAH5
543,ZFYVE16
544,FAM65A
545,C6
546,RAI14
547,SOX30
548,PNKP
549,BEST2
550,PHLPP2
551,SPDL1
552,STAU2
553,PQLC2
554,CTNS
555,RTN4R
556,PHF23
557,CDH10
558,INPP4A
559,RAB27B
560,PSMA4
561,MYO16
562,LSG1
563,PARP3
564,TNC
565,THAP3
566,FAM65C
567,TDP1
568,AIFM2
569,C2orf83
570,SPATA7
571,MED17
572,RETSAT
573,CAPG
574,AP2S1
575,USH2A
576,ZPBP
577,TG
578,ADAM28
579,BARX2
580,DCUN1D1
581,PHF15
582,ZIC2
583,LCP2
584,TRIT1
585,ADRB1
586,GUCA2B
587,CUL7
588,CTNNA1
589,PHKA2
590,CNTLN
591,EPHA3
592,HSPA5
593,DSG2
594,GEMIN8
595,OFD1
596,GPM6B
597,MAGEC2
598,PREX2
599,WDR37
600,YTHDC2
601,CTPS2
602,ATP6V1H
603,POLR2B
604,FAM214A
605,TPR
606,CP
607,KIAA0556
608,DTNBP1
609,ANO2
610,C12orf4
611,SCML1
612,WWC3
613,ARHGAP6
614,FAM184B
615,MAP4
616,GOPC
617,ROS1
618,USP28
619,HDAC9
620,TSPAN17
621,NOP16
622,CC2D2A
623,RRM2B
624,ZNF800
625,TNFRSF17
626,SNX29
627,LMO3
628,MRPS10
629,GUCA1A
630,RSF1
631,VPS13D
632,CELF2
633,FAM120A
634,R3HDM1
635,COL9A2
636,KITLG
637,ERCC8
638,ADAMTS6
639,H6PD
640,VAMP3
641,PER3
642,UTS2
643,TNFRSF9
644,EPN3
645,SRD5A2
646,LTBP1
647,ELN
648,RFC2
649,ARID1B
650,CLPTM1L
651,NEDD4L
652,FOXP3
653,PPP1R3F
654,HEXB
655,PTCD2
656,KIAA2022
657,JKAMP
658,DKK3
659,ARHGEF5
660,NFE2L3
661,CCDC90A
662,LIMA1
663,LETMD1
664,SLC4A8
665,LAMC3
666,PTGER3
667,TNIP3
668,MAPK9
669,COL23A1
670,BCAR1
671,FAM160A2
672,HERPUD1
673,HOMER3
674,RAD51
675,POLQ
676,PIK3CB
677,CYBA
678,HEBP2
679,MPHOSPH9
680,PLEKHA5
681,PRSS8
682,SIKE1
683,RRP12
684,FNIP2
685,MSMO1
686,TTC17
687,ALX4
688,FSTL4
689,FOXN3
690,METTL24
691,AKR7A2
692,MRTO4
693,NNAT
694,USE1
695,MCF2L2
696,NRIP2
697,LAMA3
698,AP5M1
699,ANAPC4
700,KCNQ1
701,TRAPPC3
702,THRAP3
703,PHPT1
704,ENTPD2
705,ARID4B
706,OPN3
707,SDCCAG8
708,PTPRN
709,HHAT
710,KIF1B
711,FOXC1
712,TBC1D22A
713,SYNE2
714,PLEKHH1
715,ATP9A
716,SPO11
717,CBLN4
718,CHRDL2
719,FAM168A
720,RELT
721,GALC
722,NOP58
723,SZRD1
724,KCNH2
725,CUL1
726,FAM114A2
727,CYFIP2
728,TAB2
729,GINM1
730,EIF2AK2
731,USP36
732,MLL3
733,MCOLN3
734,CCDC85A
735,PUM2
736,MRPL43
737,ITIH1
738,C4orf27
739,ZFR
740,ZNF280C
741,NPFFR2
742,PHF21B
743,TRAF1
744,RC3H2
745,PCGF2
746,IL17RB
747,TRAF3IP2
748,GYG2
749,DCBLD2
750,SERPINB3
751,SOAT1
752,PKP2
753,MSH4
754,F7
755,GDI2
756,PRDM1
757,ATG5
758,TMCC3
759,PITHD1
760,MTA3
761,USP13
762,ATP11B
763,LAMC2
764,CDK14
765,SEC61A1
766,PPP1R12A
767,RASGRF1
768,CAMK2B
769,CROCC
770,POLR3E
771,ATP2B4
772,RIOK2
773,YIPF1
774,TMEM48
775,DGKG
776,FLYWCH1
777,UNKL
778,TBXAS1
779,PARP12
780,ALDH18A1
781,TARBP1
782,PET112
783,MXD1
784,CDK17
785,PSD
786,CTDP1
787,CSDA
788,STYK1
789,WNK1
790,CCAR1
791,OGFR
792,GNA15
793,CREB3L3
794,PIGV
795,PTPRU
796,SNRNP40
797,RIMBP2
798,COL11A1
799,QSER1
800,MPC1
801,ACAA1
802,BCAT1
803,HDAC7
804,LZTS1
805,PRDM6
806,WNT8A
807,SPAG4
808,NCKAP1
809,MRPS35
810,GUCY1B3
811,SFSWAP
812,TNK2
813,MON2
814,CDH3
815,ARSF
816,GPBP1
817,DGAT2
818,ZNF112
819,CS
820,LTK
821,MRPS24
822,ELMO2
823,WAPAL
824,VMP1
825,APPBP2
826,POLD1
827,SEZ6
828,EIF4B
829,SLC6A16
830,GLTSCR1
831,SPHK2
832,RPL18
833,CA11
834,ISOC2
835,U2AF2
836,EPN1
837,MED29
838,AHRR
839,GSC2
840,ZNF275
841,MTMR1
842,GPC1
843,ADCK1
844,HAGH
845,CASP8
846,LIMCH1
847,ASUN
848,TM7SF3
849,DLX3
850,SPA17
851,TSPAN32
852,WISP2
853,DMRT3
854,ST3GAL6
855,ATP2C2
856,NGFR
857,CDON
858,TAF2
859,HIPK2
860,TNPO3
861,RFXANK
862,TMEM161A
863,LPAR2
864,CTSA
865,SUGP2
866,SLC12A2
867,SNX24
868,EYA2
869,CNN2
870,ABCA7
871,SNCAIP
872,DDX20
873,BTBD1
874,FAR2
875,BCAS1
876,POU1F1
877,CHI3L2
878,SBNO2
879,PMS1
880,HMG20B
881,CALCRL
882,TAF11
883,ANKS1A
884,AP3D1
885,ZNF76
886,SLC9A3R2
887,NTHL1
888,UHRF1BP1
889,GNAI3
890,IPO5
891,OAT
892,WDR3
893,PKN2
894,WDR18
895,TRAM2
896,NTN1
897,GLP2R
898,MCM10
899,DGKA
900,ERBB3
901,ROPN1
902,ANKRD44
903,KARS
904,ADAT1
905,PDIA5
906,TBC1D22B
907,NDUFB4
908,SPEN
909,MYLK
910,ZC3H15
911,MAP2K4
912,TMEM206
913,SNAP91
914,SLK
915,CYB5R4
916,COL17A1
917,GSTO2
918,SEC61A2
919,PRKCQ
920,TLE2
921,ASB1
922,FAM107B
923,ME1
924,TBC1D1
925,CDK13
926,MTHFD2
927,SLC9A7
928,PDE4A
929,PPP2R5A
930,CTNNA2
931,ELAVL1
932,TIE1
933,DIP2B
934,SMARCD1
935,KDM4A
936,NFYC
937,ZMYND12
938,SLC9A3
939,NGEF
940,ASPM
941,CD84
942,ELOVL1
943,SPI1
944,ZNRD1
945,MPPED2
946,CLDN18
947,ZBTB11
948,ATXN3
949,GOLGA5
950,FGFR2
951,LRRC40
952,ISOC1
953,EML1
954,THUMPD1
955,KIF26A
956,ATG2B
957,ARFGEF1
958,ACSM2B
959,ZFAT
960,MTFR1
961,STAG3
962,FECH
963,MYO9A
964,DDX3Y
965,PFKP
966,IDI1
967,SP100
968,KLF6
969,PPAP2A
970,NEO1
971,TRAM1
972,PHKA1
973,TNFRSF1A
974,CACNB1
975,EVI5
976,STOML1
977,PKM
978,DHX29
979,DNTTIP2
980,METTL22
981,TP53BP1
982,TRO
983,RRP15
984,RHOA
985,DHX8
986,PRKCZ
987,ZFY
988,IARS2
989,SYT1
990,NAV3
991,IDH3G
992,ROGDI
993,PDZD4
994,ATP2B3
995,ROCK1
996,CBFB
997,PDK3
998,HYAL2
999,HDAC4
1000,RASSF1
1001,FGFR3
1002,IFI35
1003,HEATR6
1004,COASY
1005,PLEKHH3
1006,MEF2A
