,0
0,BICR22
1,BICR78
2,CCK-81
3,CL-40
4,COLO-783
5,EN
6,ES-2
7,FU-OV-1
8,G-MEL
9,H2591
10,H2595
11,H2731
12,H2803
13,H2804
14,H2810
15,H2869
16,H290
17,H3118
18,H513
19,HARA
20,HCC-15
21,HCC-366
22,HCC-44
23,HCC-827
24,Hep 3B2_1-7
25,Hs633T
26,Hs683
27,Hs746T
28,IGR-37
29,IHH-4
30,IM-95
31,JHH-2
32,JHH-4
33,JHH-6
34,JHH-7
35,JHU-011
36,JHU-022
37,KYM-1
38,KYSE-220
39,LN-18
40,LN-229
41,LNZTA3WT4
42,MDA-MB-436
43,MDST8
44,MFE-319
45,ML-1
46,MS751
47,NB(TU)1-10
48,NCI-H1836
49,NCI-H1869
50,NCI-H1915
51,NCI-H1944
52,NCI-H196
53,NCI-H2023
54,NCI-H211
55,NCI-H3122
56,NCI-H647
57,NCI-H841
58,NCI-H847
59,OSC-20
60,OV-90
61,OVISE
62,OVKATE
63,OVMIU
64,PA-TU-8988T
65,PC-3 [JPC-3]
66,PCI-15A
67,PCI-38
68,PCI-6A
69,PE/CA-PJ15
70,PL18
71,RERF-GC-1B
72,RH-41
73,SISO
74,SKN
75,SNU-182
76,SNU-398
77,SU8686
78,SUIT-2
79,SW156
80,TC-71
81,TOV-21G
82,TT2609-C02
83,WM278
84,SUP-B15
85,H3255
86,201T
87,451Lu
88,OCI-AML3
89,ASH-3
90,BICR10
91,BICR31
92,CAL-29
93,CAL-78
94,CHSA0011
95,CHSA0108
96,CL-11
97,CL-34
98,CS1
99,DAN-G
100,EFM-192A
101,FU97
102,G-292 Clone A141B1
103,H2369
104,H2373
105,H2461
106,H2722
107,H2795
108,H2818
109,HCC1428
110,HCC202
111,HCC-56
112,HCC-78
113,HDQ-P1
114,ALL-SIL
115,AMO-1
116,COR-L303
117,COR-L95
118,DND-41
119,EJM
120,Farage
121,HeLa
122,HPAC
123,Hs766T
124,Hs940-T
125,huH-1
126,JHH-1
127,JHU-029
128,JIMT-1
129,K2
130,KMRC-1
131,KMRC-20
132,KON
133,KP-1N
134,KP-2
135,KP-3
136,KYSE-50
137,LC-1-sq
138,LOU-NH91
139,NCI-H1435
140,NCI-H1568
141,NCI-H1688
142,NCI-H1781
143,NCI-H2110
144,NCI-H2135
145,NCI-H2172
146,NCI-H2444
147,NUGC-4
148,OCUM-1
149,OE21
150,OSC-19
151,OVTOKO
152,PANC-02-03
153,PANC-04-03
154,PA-TU-8902
155,PCI-30
156,PCI-4B
157,PL4
158,QGP-1
159,RERF-LC-KJ
160,RERF-LC-Sq1
161,RKN
162,SAT
163,SCC90
164,SKN-3
165,STS-0421
166,SW1271
167,T-T
168,TOV-112D
169,VCaP
170,WM1552C
171,WM35
172,WM793B
173,GA-10
174,GRANTA-519
175,HCC1500
176,CHSA8926
177,COR-L32
178,COR-L321
179,Hs-445
180,HSC-39
181,NB-4
182,JEKO-1
183,JJN-3
184,JM1
185,JSC-1
186,JURL-MK1
187,KARPAS-1106P
188,KARPAS-231
189,KARPAS-620
190,KCL-22
191,KOPN-8
192,L-1236
193,MDA-MB-330
194,ME-1
195,MOLM-13
196,MOLM-16
197,MOLP-8
198,NCI-H1341
199,NCI-H1876
200,NCI-H2066
201,NU-DUL-1
202,OCI-AML5
203,OCI-LY-19
204,OCI-M1
205,P32-ISH
206,PL-21
207,PWR-1E
208,RCH-ACV
209,RC-K8
210,ROS-50
211,SLVL
212,SU-DHL-10
213,SU-DHL-16
214,SU-DHL-4
215,SU-DHL-5
216,SU-DHL-6
217,SU-DHL-8
218,SUP-HD1
219,SUP-M2
220,TK
221,VAL
222,WIL2-NS
223,WSU-DLCL2
224,DOV13
225,Hey
226,JHOS-2
227,JHOS-3
228,JHOS-4
229,OV-7
230,OV-17R
231,OV-56
232,OVCA420
233,OVK-18
234,PEO1
235,UWB1.289
236,FLO-1
237,OACp4C
238,OACM5-1
239,SK-GT-2
240,SK-GT-4
241,ESO26
242,ESO51
243,KYAE-1
244,EMC-BAC-1
245,EMC-BAC-2
246,TE-4
247,NCC010
248,NCC021
249,RCC-FG2
250,RCC-JF
251,RCC-JW
252,RCC-ER
253,RCC-AB
254,RCC-MF
255,KMS-11
256,MM1S
257,OCI-LY7
258,SNU-1040
259,SNU-175
260,SNU-407
261,SNU-61
262,SNU-81
263,SNU-C5
264,MC-CAR
265,PFSK-1
266,A673
267,ES3
268,ES5
269,ES7
270,EW-11
271,SK-ES-1
272,NCI-H1395
273,COLO-829
274,5637
275,RT4
276,SW780
277,TCCSUP
278,C-33-A
279,C-4-I
280,ME-180
281,42-MG-BA
282,8-MG-BA
283,A172
284,GB-1
285,T98G
286,U-118-MG
287,U-87-MG
288,YKG-1
289,ChaGo-K-1
290,NCI-H720
291,Calu-3
292,COR-L23
293,LK-2
294,NCI-H1623
295,NCI-H1648
296,NCI-H1650
297,NCI-H1693
298,NCI-H1770
299,NCI-H1838
300,NCI-H2085
301,NCI-H2170
302,NCI-H2228
303,NCI-H2342
304,NCI-H2347
305,NCI-H2405
306,NCI-H661
307,COR-L311
308,DMS-114
309,DMS-273
310,NCI-H1048
311,NCI-H1092
312,NCI-H1417
313,NCI-H1694
314,NCI-H187
315,NCI-H1963
316,NCI-H2029
317,NCI-H209
318,NCI-H2141
319,NCI-H2227
320,NCI-H345
321,NCI-H378
322,NCI-H446
323,NCI-H526
324,NCI-H64
325,NCI-H69
326,NCI-H82
327,NCI-H2052
328,SK-N-DZ
329,SK-N-FI
330,VA-ES-BJ
331,VMRC-LCD
332,LU-139
333,SBC-5
334,SBC-1
335,LU-135
336,SK-N-SH
337,NCI-H2030
338,NCI-H2122
339,NCI-H1734
340,NCI-H650
341,T-24
342,NCI-H929
343,SK-N-AS
344,NCI-H1299
345,NCI-H2087
346,UM-UC-3
347,SW756
