	gain:cnaPAAD1 (WNK1)	gain:cnaPAAD2 (KRAS)	gain:cnaPAAD3	loss:cnaPAAD4 (CDKN2A)	gain:cnaPAAD5 (NOTCH2)
910702	0	0	0	1	0
906693	0	0	0	1	0
753624	0	0	0	1	0
910915	0	0	0	0	0
906821	0	1	0	0	0
1290797	0	1	0	1	0
1298136	0	0	0	0	0
724869	0	1	0	0	0
1298141	0	0	0	0	0
907285	0	0	0	1	0
907286	0	0	0	1	0
1298216	0	1	0	1	0
753572	0	0	1	1	0
724870	0	0	0	1	0
753595	0	1	0	0	0
1298475	0	0	0	0	0
925346	0	0	1	1	0
1298476	0	0	0	0	0
925347	0	0	0	1	0
925348	0	0	0	0	0
1298526	1	1	0	0	0
1240201	0	0	1	0	0
1240208	0	0	1	0	1
1298533	1	1	0	1	0
910546	0	1	0	1	0
1240218	0	1	0	1	0
1240219	0	0	0	1	0
910907	0	0	0	1	0
909904	0	1	0	1	0
