	loss:cnaOV1	loss:cnaOV2	gain:cnaOV3 (WNK1)	gain:cnaOV4 (KRAS)	"gain:cnaOV5 (MDM2,NUP107)"	gain:cnaOV6 (TERT)	gain:cnaOV7 (TRIO)	loss:cnaOV8	loss:cnaOV9	loss:cnaOV10	loss:cnaOV11	"gain:cnaOV12 (FGFR3,WHSC1)"	loss:cnaOV13	loss:cnaOV14	loss:cnaOV15	loss:cnaOV16	loss:cnaOV17	gain:cnaOV18 (CCNE1)	gain:cnaOV19	loss:cnaOV20	loss:cnaOV21	loss:cnaOV22	loss:cnaOV23 (SMARCA4)	loss:cnaOV24	loss:cnaOV25	gain:cnaOV26	loss:cnaOV27	loss:cnaOV28	loss:cnaOV29	loss:cnaOV30	loss:cnaOV31 (CREBBP)	loss:cnaOV32	loss:cnaOV33 (ZFHX3)	loss:cnaOV34	loss:cnaOV35	loss:cnaOV36	"gain:cnaOV37 (F8,HCFC1,RPL10)"	loss:cnaOV38	loss:cnaOV39	loss:cnaOV40	loss:cnaOV41	loss:cnaOV42	loss:cnaOV43 (NF1)	loss:cnaOV44	loss:cnaOV45	loss:cnaOV46	gain:cnaOV47	gain:cnaOV48 (SOX17)	gain:cnaOV49	gain:cnaOV50	gain:cnaOV51 (MYC)	loss:cnaOV52	loss:cnaOV53	loss:cnaOV54	loss:cnaOV55	loss:cnaOV56	loss:cnaOV57 (ZNRF3)	loss:cnaOV58	loss:cnaOV59	gain:cnaOV60	loss:cnaOV61	loss:cnaOV62	loss:cnaOV63	"loss:cnaOV64 (ARID1B,MAP3K4,MLLT4)"	gain:cnaOV65 (CHD8)	gain:cnaOV66 (AKT1)	loss:cnaOV67	loss:cnaOV68	loss:cnaOV69	loss:cnaOV70	gain:cnaOV71	gain:cnaOV72 (ASXL1)	gain:cnaOV73	gain:cnaOV74 (ARFGAP1)	"gain:cnaOV75 (NR2F2,PCSK6)"	loss:cnaOV76	loss:cnaOV77	loss:cnaOV78	loss:cnaOV79	loss:cnaOV80	loss:cnaOV81 (RB1)	loss:cnaOV82	loss:cnaOV83	loss:cnaOV84	loss:cnaOV85	gain:cnaOV86 (KAT6B)	loss:cnaOV87	loss:cnaOV88	loss:cnaOV89	loss:cnaOV90	loss:cnaOV91 (ABL1)	loss:cnaOV92	gain:cnaOV93	gain:cnaOV94	gain:cnaOV95 (MECOM)	gain:cnaOV96	"gain:cnaOV97 (PIP5K1A,SETDB1)"	gain:cnaOV98	gain:cnaOV99 (DHX9)	gain:cnaOV100 (ZC3H11A)	gain:cnaOV101 (PMS1)	loss:cnaOV102
906825	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
949090	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0
1479987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
911905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1
1240129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1479988	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
905968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1479995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
1480358	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1480359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
